Gender,Age,Married,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
Male,35,Yes,3,36.545353,-119.338535,2,34,Offer C,No,0.0,No Phone Service,Yes,DSL,76.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,1442.6,0.0,0,0.0,1442.6
Male,75,Yes,0,35.480896,-120.469476,7,68,Offer A,Yes,34.31,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,80.35,5589.3,0.0,0,2333.08,7922.38
Female,80,Yes,0,34.083086,-117.737997,1,43,No Offer,Yes,13.84,Yes,Yes,Cable,18.0,No,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,107.55,4533.9,0.0,140,595.12,5269.02
Male,44,No,0,34.049671,-117.468896,0,1,No Offer,No,0.0,No Phone Service,Yes,Cable,2.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,24.45,24.45,0.0,0,0.0,24.45
Female,75,Yes,1,38.148862,-121.737696,8,57,No Offer,Yes,28.25,No,Yes,Fiber Optic,15.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,95.3,5567.45,0.0,0,1610.25,7177.7
Male,53,No,0,34.500091,-117.765862,0,10,Offer D,No,0.0,No Phone Service,Yes,DSL,22.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,35.75,389.8,0.0,0,0.0,389.8
Male,43,No,0,37.758085,-122.434801,0,24,No Offer,Yes,8.99,Yes,Yes,DSL,5.0,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,55.65,1400.55,0.0,60,215.76,1676.31
Male,75,Yes,0,36.488056,-120.407691,4,72,Offer A,Yes,5.6,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,114.5,8331.95,0.0,0,403.2,8735.15
Male,49,No,0,39.473896,-121.415927,0,1,No Offer,Yes,31.16,No,Yes,DSL,11.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,53.95,53.95,0.0,0,31.16,85.11
Male,53,Yes,0,33.782346,-117.635263,1,56,No Offer,Yes,14.43,Yes,Yes,Fiber Optic,25.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.25,6033.3,0.0,0,808.08,6841.38
